Release Year,Number of Releases,platform,Average Meta Score,Average User Review
2013,6, Xbox,49.333333333333336,5.7500000000000000
2013,4, Wii,49.25,5.7500000000000000
2013,1, PlayStation,50,4.8000000000000000
2013,3, DS,51.666666666666664,5.8666666666666667
2013,274, PC,70.44160583941606,6.7912408759124088
2013,1, PlayStation 5,56,8.3000000000000000
2013,27, PlayStation 4,73.51851851851852,6.4000000000000000
2013,41, PlayStation Vita,75.7560975609756,7.5317073170731707
2013,3, Switch,45,6.2666666666666667
2013,59, 3DS,70.33898305084746,7.0372881355932203
2013,4, PSP,56.75,6.7750000000000000
2014,1, Xbox Series X,56,6.5000000000000000
2014,58, Xbox 360,64.63793103448276,6.4103448275862069
2014,4, Xbox,50.25,4.5000000000000000
2014,266, PC,72.13533834586467,6.9033834586466165
2014,2, Game Boy Advance,48.5,5.1000000000000000
2014,42, Wii U,74.30952380952381,7.6761904761904762
2014,1, Switch,52,5.6000000000000000
2014,4, DS,48.5,4.3250000000000000
2014,47, 3DS,72.68085106382979,7.4000000000000000
2014,1, GameCube,53,5.1000000000000000
2014,3, Wii,52.666666666666664,5.9333333333333333
2014,6, PlayStation 2,51.833333333333336,5.8333333333333333
2014,56, PlayStation Vita,72.01785714285714,7.4178571428571429
2014,76, Xbox One,74.85526315789474,6.7118421052631579
2014,66, PlayStation 3,68.86363636363636,6.8575757575757576
2014,1, Dreamcast,56,5.1000000000000000
2014,130, PlayStation 4,73.26153846153846,6.5723076923076923
2015,43, PlayStation Vita,71.37209302325581,7.3255813953488372
2015,2, Xbox,48,6.8500000000000000
2015,8, Xbox 360,47.75,4.5125000000000000
2015,6, Wii,50.166666666666664,6.1500000000000000
2015,46, 3DS,73.47826086956522,7.3173913043478261
2015,4, PlayStation 2,52.75,4.2250000000000000
2015,145, Xbox One,73.26206896551724,6.7531034482758621
2015,222, PlayStation 4,72.97747747747748,6.7689189189189189
2015,2, Game Boy Advance,52.5,6.1500000000000000
2015,16, PlayStation 3,65.75,6.9812500000000000
2015,2, PSP,76,7.4500000000000000
2015,2, Switch,53.5,5.5500000000000000
2015,36, Wii U,75.94444444444444,7.4888888888888889
2015,5, DS,48.4,5.3200000000000000
2015,301, PC,72.25249169435216,6.8049833887043189
2016,7, Xbox,48,4.1857142857142857
2016,4, Wii,50,5.1750000000000000
2016,2, Game Boy Advance,49,4.0500000000000000
2016,46, 3DS,73.34782608695652,7.2673913043478261
2016,24, PlayStation Vita,70.875,7.7708333333333333
2016,175, Xbox One,73.46857142857142,6.7120000000000000
2016,312, PC,73.15064102564102,6.8076923076923077
2016,8, PlayStation 2,52.5,5.8750000000000000
2016,2, DS,47,5.4000000000000000
2016,1, GameCube,54,3.2000000000000000
2016,3, Switch,53.666666666666664,5.1000000000000000
2016,1, Dreamcast,43,7.5000000000000000
2016,9, PlayStation 3,49.333333333333336,5.2666666666666667
2016,320, PlayStation 4,72.275,6.6831250000000000
2016,2, PSP,51.5,6.5000000000000000
2016,12, Xbox 360,51.166666666666664,4.5916666666666667
2016,16, Wii U,76.0625,7.3500000000000000
2017,29, 3DS,73.51724137931035,7.5310344827586207
2017,1, GameCube,54,5.3000000000000000
2017,3, PlayStation 3,49.666666666666664,4.8666666666666667
2017,1, PlayStation,41,3.8000000000000000
2017,2, DS,52,5.4000000000000000
2017,2, PSP,54,4.6500000000000000
2017,323, PlayStation 4,72.89473684210526,6.6718266253869969
2017,12, PlayStation Vita,69,6.9666666666666667
2017,6, Xbox,48.166666666666664,4.7666666666666667
2017,165, Switch,73.78787878787878,7.3163636363636364
2017,7, Xbox 360,49.857142857142854,5.5714285714285714
2017,1, Wii U,96,8.3000000000000000
2017,1, Game Boy Advance,56,6.1000000000000000
2017,154, Xbox One,74.55194805194805,6.3493506493506494
2017,4, Wii,49.5,5.3000000000000000
2017,279, PC,73.77777777777777,6.7881720430107527
2017,4, PlayStation 2,47.75,5.5250000000000000
2018,5, Wii,48,4.3800000000000000
2018,259, PC,73.03474903474904,6.6710424710424710
2018,3, PlayStation,53.333333333333336,5.1333333333333333
2018,319, Switch,74.81504702194357,7.3639498432601881
2018,12, 3DS,70.91666666666667,7.1750000000000000
2018,8, PlayStation 3,51.25,4.8875000000000000
2018,6, PlayStation 2,49.333333333333336,5.0833333333333333
2018,283, PlayStation 4,71.90812720848056,6.3339222614840989
2018,1, GameCube,56,4.5000000000000000
2018,3, PSP,50,5.4000000000000000
2018,1, Game Boy Advance,46,4.6000000000000000
2018,168, Xbox One,74.01785714285714,6.6636904761904762
2018,4, PlayStation Vita,63,5.9000000000000000
2018,3, Xbox,48,4.6333333333333333
2018,1, DS,55,5.9000000000000000
2018,13, Xbox 360,48.46153846153846,4.8307692307692308
2018,2, Wii U,51.5,5.9500000000000000
2019,1, Wii U,44,4.4000000000000000
2019,245, PlayStation 4,72.83673469387755,6.2485714285714286
2019,290, Switch,73.95172413793104,7.0179310344827586
2019,7, Xbox 360,50.285714285714285,5.6000000000000000
2019,142, Xbox One,75.27464788732394,6.2429577464788732
2019,260, PC,74.31923076923077,6.5811538461538462
2019,3, Xbox,47,2.2333333333333333
2019,2, PSP,50,5.0000000000000000
2019,1, PlayStation,42,5.0000000000000000
2019,6, 3DS,75,7.2333333333333333
2019,5, PlayStation 2,47.6,5.4400000000000000
2019,1, GameCube,50,4.0000000000000000
2019,3, DS,50,4.1666666666666667
2019,1, PlayStation Vita,55,4.4000000000000000
2019,1, Wii,53,6.5000000000000000
2019,2, Game Boy Advance,51,5.8000000000000000
2019,4, PlayStation 3,52,6.3250000000000000
2020,4, PlayStation 3,47.5,5.7250000000000000
2020,1, GameCube,56,6.1000000000000000
2020,245, Switch,74.04081632653062,7.3126530612244898
2020,2, DS,54,2.2000000000000000
2020,132, Xbox One,73.34848484848484,6.2795454545454545
2020,1, PSP,56,6.0000000000000000
2020,287, PC,73.36236933797909,6.5954703832752613
2020,16, Xbox Series X,79.3125,6.6625000000000000
2020,5, PlayStation 2,51.2,5.2400000000000000
2020,4, Xbox 360,48.5,6.4000000000000000
2020,25, PlayStation 5,78.28,6.6280000000000000
2020,6, Wii,46.666666666666664,4.2333333333333333
2020,220, PlayStation 4,73.28636363636363,6.2350000000000000
2020,4, Stadia,75.25,7.2750000000000000
2020,1, Xbox,56,5.4000000000000000
2020,1, PlayStation,40,6.8000000000000000
2020,3, 3DS,53.666666666666664,6.1666666666666667
2021,1, Wii,44,7.0000000000000000
2021,28, Xbox One,75.96428571428571,6.0892857142857143
2021,192, PC,75.328125,6.6864583333333333
2021,62, PlayStation 4,73.95161290322581,6.6725806451612903
2021,3, PlayStation 2,53.666666666666664,4.9000000000000000
2021,3, DS,46,5.8666666666666667
2021,136, Switch,75.4779411764706,7.2919117647058824
2021,3, GameCube,50.333333333333336,6.2000000000000000
2021,4, Xbox 360,49.25,5.4250000000000000
2021,2, 3DS,53,4.4500000000000000
2021,1, Game Boy Advance,52,5.4000000000000000
2021,46, Xbox Series X,77.6086956521739,6.6891304347826087
2021,1, PlayStation 3,54,6.6000000000000000
2021,80, PlayStation 5,77.3625,6.7350000000000000
